observation_date,CSUSHPISA,MORTGAGE30US,CES0500000003,HOUST
2004-01-01,141.64700000000002,,,1911.0
2004-02-01,143.192,5.697142857142857,,1846.0
2004-03-01,145.058,5.585714285714285,,1998.0
2004-04-01,146.593,5.52,,2003.0
2004-05-01,148.186,6.041428571428571,,1981.0
2004-06-01,149.852,6.291428571428572,,1828.0
2004-07-01,151.339,6.21,,2002.0
2004-08-01,152.635,6.041428571428572,,2024.0
2004-09-01,154.18,5.777142857142857,,1905.0
2004-10-01,155.752,5.734285714285714,,2072.0
2004-11-01,157.529,5.674285714285714,,1782.0
2004-12-01,159.332,5.798749999999999,,2042.0
2005-01-01,161.289,5.795,,2144.0
2005-02-01,163.346,5.638571428571429,,2207.0
2005-03-01,165.81400000000002,5.761428571428572,,1864.0
2005-04-01,167.503,6.024285714285714,,2061.0
2005-05-01,169.352,5.767142857142857,,2025.0
2005-06-01,171.192,5.6242857142857146,,2068.0
2005-07-01,172.861,5.542857142857143,,2054.0
2005-08-01,174.44400000000002,5.798571428571429,,2095.0
2005-09-01,176.438,5.71,,2151.0
2005-10-01,178.028,5.930000000000001,,2065.0
2005-11-01,179.68200000000002,6.264285714285714,,2147.0
2005-12-01,180.91099999999997,6.26,,1994.0
2006-01-01,182.321,6.215714285714285,,2273.0
2006-02-01,183.288,6.214285714285714,,2119.0
2006-03-01,184.364,6.242857142857143,20.05,1969.0
2006-04-01,184.329,6.372857142857143,20.15,1821.0
2006-05-01,184.155,6.585714285714285,20.13,1942.0
2006-06-01,183.507,6.67,20.23,1802.0
2006-07-01,183.06599999999997,6.782857142857143,20.29,1737.0
2006-08-01,182.594,6.655714285714286,20.32,1650.0
2006-09-01,182.798,6.444285714285715,20.41,1720.0
2006-10-01,183.198,6.305714285714285,20.43,1491.0
2006-11-01,183.608,6.322857142857143,20.49,1570.0
2006-12-01,184.139,6.135714285714285,20.57,1649.0
2007-01-01,184.517,6.18,20.59,1409.0
2007-02-01,184.599,6.34,20.68,1480.0
2007-03-01,184.151,6.18,20.73,1495.0
2007-04-01,183.011,6.164285714285715,20.78,1490.0
2007-05-01,181.601,6.16,20.84,1415.0
2007-06-01,180.253,6.435714285714286,20.95,1448.0
2007-07-01,179.11,6.652857142857143,20.95,1354.0
2007-08-01,178.116,6.6814285714285715,21.0,1330.0
2007-09-01,177.55700000000002,6.452857142857143,21.04,1183.0
2007-10-01,176.623,6.3914285714285715,21.06,1264.0
2007-11-01,175.146,6.26,21.12,1197.0
2007-12-01,174.34,6.06,21.17,1037.0
2008-01-01,173.13099999999997,6.098571428571429,21.2,1084.0
2008-02-01,171.53900000000002,5.678571428571428,21.26,1103.0
2008-03-01,170.05200000000002,6.180000000000001,21.36,1005.0
2008-04-01,168.33599999999998,5.871428571428571,21.38,1013.0
2008-05-01,166.658,6.06,21.47,973.0
2008-06-01,165.017,6.0842857142857145,21.51,1046.0
2008-07-01,163.565,6.378571428571428,21.6,923.0
2008-08-01,161.988,6.52,21.7,844.0
2008-09-01,160.30700000000002,6.371428571428571,21.72,820.0
2008-10-01,158.327,6.098571428571428,21.76,777.0
2008-11-01,156.142,6.385714285714286,21.87,652.0
2008-12-01,153.618,5.695,21.94,560.0
2009-01-01,151.507,5.08875,21.96,490.0
2009-02-01,150.014,5.164285714285714,21.99,582.0
2009-03-01,148.66,5.104285714285715,22.06,505.0
2009-04-01,147.94799999999998,4.79,22.09,478.0
2009-05-01,147.694,4.788571428571429,22.11,540.0
2009-06-01,148.089,5.127142857142857,22.14,585.0
2009-07-01,148.409,5.3342857142857145,22.18,594.0
2009-08-01,148.27700000000002,5.241428571428571,22.23,586.0
2009-09-01,148.025,5.097142857142857,22.27,585.0
2009-10-01,147.85,4.94,22.3,534.0
2009-11-01,148.136,5.008571428571429,22.35,588.0
2009-12-01,147.93,4.7275,22.36,581.0
2010-01-01,147.39600000000002,5.132857142857143,22.41,614.0
2010-02-01,145.632,4.997142857142857,22.45,604.0
2010-03-01,145.858,5.0042857142857144,22.46,636.0
2010-04-01,146.401,5.08,22.49,687.0
2010-05-01,146.391,5.042857142857143,22.53,583.0
2010-06-01,145.718,4.787142857142857,22.53,536.0
2010-07-01,144.986,4.58,22.59,546.0
